timestamp_start,timestamp_end,keypoint_id,x_start,y_start,z_start,x_end,y_end,z_end,dx,dy,dz
2,7.0,18,15,286,-0.4128,131,256,-0.6378,116,-30,-0.225
2,7.0,19,318,266,-0.8604,182,165,-0.1886,-136,-101,0.6718
2,7.0,20,14,284,-0.5019,133,254,-0.6115,119,-30,-0.1096
2,7.0,21,313,268,-0.7751,182,169,-0.179,-131,-99,0.5961
2,7.0,22,19,280,-0.4346,135,258,-0.5707,116,-22,-0.1361
2,7.0,23,197,350,-0.1455,186,372,0.0511,-11,22,0.1966
2,7.0,24,163,353,0.1457,152,368,-0.0509,-11,15,-0.1966
2,7.0,25,181,421,-0.2272,180,444,-0.0833,-1,23,0.1439
2,7.0,26,166,426,0.2161,180,430,-0.4362,14,4,-0.6523
2,7.0,27,176,492,-0.0943,165,502,0.2538,-11,10,0.3481
2,7.0,28,175,491,0.4328,164,496,-0.225,-11,5,-0.6578
2,7.0,29,175,510,-0.095,157,507,0.2789,-18,-3,0.3739
2,7.0,30,177,501,0.4419,157,499,-0.2094,-20,-2,-0.6513
2,7.0,31,161,512,-0.3515,173,531,0.1071,12,19,0.4586
2,7.0,32,154,514,0.2284,170,524,-0.4292,16,10,-0.6576
3,8.0,0,185,217,-0.296,188,216,-0.3107,3,-1,-0.0147
3,8.0,1,190,212,-0.2481,191,210,-0.2628,1,-2,-0.0147
3,8.0,2,193,212,-0.248,193,211,-0.2627,0,-1,-0.0147
3,8.0,3,196,212,-0.2481,196,211,-0.2628,0,-1,-0.0147
3,8.0,4,182,211,-0.2464,184,209,-0.2738,2,-2,-0.0274
3,8.0,5,178,211,-0.2464,181,209,-0.2737,3,-2,-0.0273
3,8.0,6,175,211,-0.2463,178,210,-0.2735,3,-1,-0.0272
3,8.0,7,200,218,-0.019,198,216,-0.0458,-2,-2,-0.0268
3,8.0,8,171,215,-0.0167,171,213,-0.1059,0,-2,-0.0892
3,8.0,9,189,227,-0.2146,190,225,-0.2369,1,-2,-0.0223
