timestamp_sec,joint,angle_diff_deg
8.067,right_knee,-46.6
8.167,left_elbow,144.92
8.167,right_elbow,140.36
8.167,left_shoulder,-35.6
8.167,right_shoulder,10.71
8.167,left_knee,-8.42
8.167,right_knee,-22.77
8.333,left_elbow,154.79
8.333,right_elbow,142.98
8.333,left_shoulder,-32.89
8.333,right_shoulder,28.34
8.333,left_knee,-9.08
8.333,right_knee,-31.5
8.433,left_elbow,156.71
8.433,right_elbow,158.96
8.433,left_shoulder,-41.45
8.433,right_shoulder,33.64
8.433,left_knee,-2.53
8.433,right_knee,-32.52
8.5,left_elbow,143.32
8.5,right_elbow,167.83
8.5,left_shoulder,-50.69
8.5,right_shoulder,30.32
8.5,left_knee,2.52
8.5,right_knee,-11.54
8.567,left_elbow,131.86
8.567,right_elbow,138.49
8.567,left_shoulder,-61.22
8.567,right_shoulder,38.32
8.567,left_knee,29.3
8.567,right_knee,18.77
8.667,left_elbow,123.48
8.667,right_elbow,111.44
8.667,left_shoulder,-50.55
8.667,right_shoulder,33.87
8.667,left_knee,44.62
8.667,right_knee,47.79
8.833,left_elbow,-93.16
8.833,right_elbow,34.15
8.833,left_shoulder,-55.68
8.833,right_shoulder,35.97
8.833,left_knee,-9.26
8.833,right_knee,36.29
8.933,left_elbow,-167.65
8.933,right_elbow,-144.24
8.933,left_shoulder,-34.04
8.933,right_shoulder,24.25
8.933,left_knee,5.83
8.933,right_knee,-32.79
9.0,left_elbow,-169.53
9.0,right_elbow,-152.73
9.0,left_shoulder,-24.3
9.0,right_shoulder,13.35
9.0,left_knee,-11.05
9.0,right_knee,-22.22
9.067,left_elbow,-159.54
9.067,right_elbow,-136.47
9.067,left_shoulder,-6.32
9.067,right_shoulder,-2.12
9.067,left_knee,15.94
9.067,right_knee,-10.37
9.1,left_elbow,-141.85
9.1,right_elbow,-102.88
9.1,left_shoulder,-2.57
9.1,right_shoulder,-4.2
9.1,left_knee,28.65
9.1,right_knee,6.48
9.167,left_elbow,111.27
9.167,right_elbow,73.88
9.167,left_shoulder,27.07
9.167,right_shoulder,3.92
9.167,left_knee,-45.37
9.167,right_knee,51.35
9.333,left_elbow,151.01
9.333,right_elbow,146.88
9.333,left_shoulder,37.05
9.333,right_shoulder,-20.94
9.333,left_knee,-57.15
9.333,right_knee,40.68
9.4,left_elbow,168.79
9.4,right_elbow,118.69
9.4,left_shoulder,37.33
9.4,right_shoulder,-32.17
9.4,left_knee,0.52
9.4,right_knee,31.23
9.433,left_elbow,24.95
9.433,right_elbow,54.79
9.433,left_shoulder,44.85
9.433,right_shoulder,-40.72
9.433,left_knee,4.85
9.433,right_knee,37.83
9.5,left_elbow,5.1
9.5,right_elbow,5.31
9.5,left_shoulder,44.42
9.5,right_shoulder,-55.08
9.5,left_knee,12.34
9.5,right_knee,39.32
9.567,left_elbow,-2.94
9.567,right_elbow,-4.19
9.567,left_shoulder,47.59
9.567,right_shoulder,-59.49
9.567,left_knee,7.05
9.567,right_knee,38.81
9.6,left_elbow,-1.07
9.6,right_elbow,10.65
9.6,left_shoulder,46.65
9.6,right_shoulder,-51.74
9.6,left_knee,12.1
9.6,right_knee,27.35
9.667,left_elbow,8.03
9.667,right_elbow,27.13
9.667,left_shoulder,64.4
9.667,right_shoulder,-25.96
9.667,left_knee,13.69
9.667,right_knee,17.2
9.833,left_elbow,-6.95
9.833,right_elbow,25.74
9.833,left_shoulder,113.06
9.833,right_shoulder,125.12
9.833,left_knee,44.08
9.833,right_knee,44.26
9.9,left_elbow,-11.24
9.9,right_elbow,11.31
9.9,left_shoulder,113.9
9.9,right_shoulder,94.12
9.9,left_knee,-43.15
9.9,right_knee,62.69
